Name,OnStreetName,AtCrossStreet,Latitude,Longitude
K007NBVR-08,K7 N,S of Shawnee Mission Parkway,38.997395,-94.852928
K007NBVR-10,K7 N,83rd St,38.9778,-94.8539
K007NBVR-12,K7 N,Prairie Star Parkway,38.956341,-94.853043
K007NBVR-13,K7 N,K-10,38.9408,-94.852623
K007NBVR-15,K7 N,College Blvd,38.927498,-94.852501
K007NBVR-20,K7 N,119th St,38.9119,-94.8519
K007NBVR-21,K7 N,Harold St,38.898632,-94.839645
K007SBVR-08,K7 S,S of Shawnee Mission Parkway,38.997395,-94.853241
K007SBVR-10,K7 S,83rd St,38.977978,-94.854202
K007SBVR-12,K7 S,Prairie Star Parkway,38.956306,-94.853394
K007SBVR-13,K7 S,K-10,38.940838,-94.852974
K007SBVR-15,K7 S,College Blvd,38.927441,-94.852905
K007SBVR-20,K7 S,119th St,38.911572,-94.851776
K007SBVR-21,K7 S,Harold St,38.898621,-94.84005
K010EBRVR-05,K10 E,WEST OF RENNER ROAD (CD),38.941368,-94.786987
K010EBVR-02,K10 E,West of RIDGEVIEW,38.9414,-94.8008
K010EBVR-03,K10 E,AT RENNER ROAD,38.94165,-94.77896
K010EBVR-04CD,K10 E,RENNER ROAD (CD),38.941116,-94.779915
K010EBVR-05,K10 E,WEST OF RENNER ROAD,38.941635,-94.787125
K010EBVR-06,K10 E,RIDGEVIEW,38.941368,-94.796822
K010EBVR-10,K10 E,Woodland,38.9416,-94.8211
K010EBVR-11,K10 E,K-7,38.9411,-94.8532
K010EBVR-13,K10 E,Cedar Creek,38.9463,-94.8805
K010WBVR-02,K10 W,West of RIDGEVIEW,38.9414,-94.8008
K010WBVR-03,K10 W,AT RENNER ROAD,38.9421,-94.779
K010WBVR-05,K10 W,WEST OF RENNER ROAD,38.941833,-94.787125
K010WBVR-06,K10 W,RIDGEVIEW,38.941624,-94.796783
K010WBVR-10,K10 W,Woodland,38.9419,-94.8211
K010WBVR-11,K10 W,K-7,38.9414,-94.8532
K010WBVR-13,K10 W,Cedar Creek,38.9465,-94.8804
K035NBRV-38,I35 N,I-35/I-635 CD,39.03922,-94.6736
K035NBV-08,I35 N,QUIVIRA RD,38.9654,-94.724
K035NBV-09,I35 N,QUIVIRA RD,38.9672,-94.7221
K035NBV-12,I35 N,87TH ST,38.972,-94.7178
